x,y,beta, gamma, rx, ry
11,14,0.0075, 0.0095, 0.0063, 0.0004
12,0,0, 0.0029, 0.0038, 0.0041
12,1,0, 0.0076, 0.0017, 0.0058
12,2,0.0055, 0.0011, 0.0013, 0.0015
12,3,0.0091, 0.0003, 0.0094, 0.0076
12,4,0.0021, 0.0078, 0.0073, 0.0039
12,5,0.0045, 0.0014, 0.0081, 0.0016
12,6,0.0006, 0.0074, 0.0087, 0.0079
12,7,0.0068, 0.0049, 0.0083, 0.0069
12,8,0.0076, 0.0023, 0.0011, 0.0074
12,9,0.0097, 0.0026, 0.0032, 0.0053
12,10,0.0037, 0.0043, 0.0066, 0.0028
12,11,0.0046, 0.0061, 0.0005, 0.0065
12,12,0.0038, 0.0076, 0.0005, 0.0081
12,13,0.009, 0.0084, 0.0098, 0.0094
12,14,0.0058, 0.0084, 0.0072, 0.0027
13,0,0.0033, 0.0057, 0.0096, 0.0008
13,1,0.0078, 0.0008, 0.0083, 0.0076
13,2,0.0034, 0.0016, 0.0028, 0.007
13,3,0.0059, 0.0092, 0.0098, 0.0004
13,4,0.0052, 0.0002, 0.0069, 0.0091
13,5,0.0078, 0.0072, 0.0071, 0.0067
13,6,0.0055, 0.007, 0.006, 0.0014
13,7,0.0054, 0.0033, 0.0042, 0.0085
13,8,0.0088, 0.0039, 0.0093, 0.0067
13,9,0.0046, 0.0077, 0.0042, 0.0078
13,10,0.0091, 0.0068, 0.0049, 0.0049
13,11,0.0061, 0.0046, 0.0051, 0.0015
13,12,0.0048, 0.0021, 0.0005, 0.0025
13,13,0.0091, 0.0076, 0.009, 0.0048
13,14,0.0046, 0.0051, 0.006, 0.0098
14,0,0.0085, 0.0003, 0.0084, 0.0072
14,1,0.0041, 0.0078, 0.0039, 0.0087
14,2,0.0055, 0.0081, 0.0066, 0.0047
14,3,0.0051, 0.0015, 0.0095, 0.0011
14,4,0.0061, 0.0047, 0.0026, 0.0009
14,5,0.0067, 0.0031, 0.0034, 0.0059
14,6,0.0007, 0.0026, 0.0006, 0.0053
14,7,0.0075, 0.0067, 0.0052, 0.0059
14,8,0.0068, 0.0037, 0.0033, 0.001
14,9,0.0014, 0.0072, 0.0097, 0.0069
14,10,0.0052, 0.0065, 0.0016, 0.0002
14,11,0.0078, 0.0012, 0.0014, 0.004
14,12,0.0059, 0.004, 0.0049, 0.0027
14,13,0.007, 0.0082, 0.0085, 0.0077
14,14,0.0007, 0.0091, 0.0031, 0.008
