x, y, alpha, beta, gamma, rx, ry, rz
2,13,0.0007, 0.0001, 0.0035, 0.0079, 0.0058, 0.0071
2,14,0.001, 0.0056, 0.0046, 0.0084, 0.0069, 0.0067
3,0,0.0091, 0.0008, 0.002, 0.0031, 0.0055, 0.0081
3,1,0.0029, 0.0097, 0.005, 0.0043, 0.0017, 0.0076
3,2,0.0007, 0.0069, 0.0026, 0.0026, 0.0055, 0.0086
3,3,0.0094, 0.0062, 0.0085, 0.003, 0.0043, 0.0042
3,4,0.0001, 0.0051, 0.0098, 0.0047, 0.0035, 0.0069
3,5,0.0015, 0.0025, 0.0075, 0.0033, 0.0056, 0.0031
3,6,0.0013, 0.0086, 0.0028, 0.0064, 0.0028, 0.0043
3,7,0.0039, 0.0036, 0.0013, 0.0063, 0.006, 0.0069
3,8,0.005, 0.0055, 0.003, 0.0036, 0.0086, 0.0073
3,9,0.0079, 0.0087, 0.0024, 0.0078, 0.0033, 0.0059
3,10,0.0046, 0.0046, 0.0084, 0.0023, 0.008, 0.0042
3,11,0.0052, 0.0093, 0.0027, 0.0078, 0.0056, 0.0055
3,12,0.0023, 0.0096, 0.0089, 0.0036, 0.0058, 0.005
3,13,0.0004, 0.001, 0.0007, 0.0035, 0.0044, 0.0091
3,14,0.0007, 0.0022, 0.0077, 0.0031, 0.0002, 0.0011
4,0,0.009, 0.0046, 0.0055, 0.0076, 0.0067, 0.0034
4,1,0.0017, 0.0019, 0.0027, 0.0042, 0.0097, 0.0083
4,2,0.0095, 0.0019, 0.0078, 0.0086, 0.0054, 0.0038
4,3,0.0037, 0.0058, 0.0046, 0.0042, 0.0091, 0.009
4,4,0.0032, 0, 0.0014, 0.001, 0.0031, 0.0014
4,5,0.0019, 0.0021, 0.0058, 0.0075, 0.0095, 0.0027
4,6,0.001, 0.0011, 0.0044, 0.0037, 0.0053, 0.004
4,7,0.002, 0.0047, 0.006, 0.0096, 0.0034, 0.0013
4,8,0.0035, 0.007, 0.0071, 0.0081, 0.0011, 0.0062
4,9,0.0071, 0.0044, 0.0062, 0.0085, 0.0054, 0.0091
4,10,0.0097, 0.0072, 0.0011, 0.0056, 0.0046, 0.0007
4,11,0.0083, 0.0054, 0.0018, 0.0026, 0.0092, 0.0069
4,12,0.0067, 0.0011, 0.0018, 0.0028, 0.0008, 0.005
4,13,0.0041, 0.0042, 0.0019, 0.0011, 0.0022, 0.0031
4,14,0.0071, 0.0093, 0.0075, 0.0032, 0.0077, 0.0028
5,0,0.0025, 0.0075, 0.0098, 0.0036, 0.0031, 0.0045
5,1,0.0042, 0.0013, 0.0001, 0.0058, 0.004, 0.0091
5,2,0.0029, 0.0008, 0.0003, 0.0045, 0.0034, 0.0009
5,3,0.0095, 0.0073, 0.0051, 0.0016, 0.0084, 0.0074
5,4,0.0045, 0.0057, 0.0066, 0.0021, 0.0087, 0.0043
5,5,0.0047, 0.0013, 0.0017, 0.0047, 0.0048, 0.0048
5,6,0.0092, 0.0088, 0.0062, 0.0093, 0.0047, 0.0003
5,7,0.0085, 0.0074, 0.0009, 0.0086, 0.002, 0.0043
5,8,0.0096, 0.0015, 0.0017, 0.0046, 0.0029, 0
5,9,0.0021, 0.0074, 0.0055, 0.0086, 0.0093, 0.0044
5,10,0.003, 0.0041, 0.0055, 0.0047, 0.0088, 0.0004
5,11,0.0094, 0.008, 0.009, 0.0057, 0.0072, 0.0039
5,12,0.0058, 0.0059, 0.0014, 0.0067, 0.0044, 0.0033
5,13,0.0009, 0.0041, 0.0048, 0.0026, 0.0088, 0.0077
5,14,0.0026, 0.0008, 0.005, 0.008, 0.0092, 0.0044
6,0,0.0025, 0.0023, 0.0083, 0.008, 0.0069, 0.0073
6,1,0.0083, 0.0064, 0.0052, 0.0074, 0.002, 0.0025
6,2,0.0012, 0.0078, 0.0082, 0.0027, 0.0044, 0.0028
6,3,0.0058, 0.0053, 0.0067, 0.0007, 0.0079, 0.0054
6,4,0.0082, 0.0004, 0.0061, 0.0033, 0.0084, 0.0054
6,5,0.0075, 0.0008, 0.0076, 0.0059, 0.0087, 0.0046
6,6,0.0031, 0.0071, 0.0009, 0.0083, 0.0044, 0.0029
6,7,0.0008, 0.0057, 0.0006, 0.009, 0.0082, 0.0048
6,8,0.0019, 0.0041, 0.0002, 0.0085, 0.0046, 0.0079
6,9,0.004, 0.0027, 0.0081, 0, 0.0058, 0.0065
6,10,0.0055, 0.0034, 0.0073, 0.003, 0.0091, 0.0061
6,11,0.0074, 0.0022, 0.0031, 0.0083, 0.0004, 0.0074
6,12,0.0011, 0.0012, 0.003, 0.0015, 0.0004, 0.0013
6,13,0.0063, 0.0021, 0.0052, 0.0063, 0.0005, 0.0096
6,14,0.0043, 0.0044, 0.0024, 0.0025, 0.0044, 0.0082
7,0,0.009, 0.0097, 0.0015, 0.0063, 0.0028, 0.0007
7,1,0.0023, 0.0003, 0.0029, 0.0055, 0.0084, 0.0032
7,2,0.0028, 0.0093, 0.0044, 0.0058, 0.0009, 0.0046
7,3,0.0069, 0.007, 0.0068, 0.002, 0.0034, 0.0073
7,4,0.0017, 0.0075, 0.0018, 0.0041, 0.0002, 0.0061
7,5,0.0022, 0.009, 0.0059, 0.0037, 0.0052, 0.0088
7,6,0.0042, 0.0076, 0.0089, 0.007, 0.003, 0.0075
7,7,0.0003, 0.0058, 0.0067, 0.0047, 0.0017, 0.0075
7,8,0.0094, 0.0084, 0.0046, 0.0061, 0.0005, 0.0079
7,9,0.0033, 0.0022, 0.0055, 0.0052, 0.0061, 0.0055
7,10,0.0012, 0.0081, 0.0045, 0.0071, 0.0019, 0.0097
7,11,0.0058, 0.0059, 0.0074, 0.0049, 0.003, 0.0005
7,12,0.0023, 0.0033, 0.0061, 0.009, 0.0079, 0.0076
7,13,0.0064, 0.0072, 0.0061, 0.001, 0.0034, 0.0066
7,14,0.0089, 0.0067, 0.0086, 0.0043, 0.0018, 0.0046
8,0,0.0097, 0.003, 0.0028, 0.0043, 0.0001, 0.0045
8,1,0.0041, 0.0059, 0.0004, 0.0015, 0.0007, 0.0032
8,2,0.0018, 0.003, 0.0066, 0.008, 0.002, 0.0044
8,3,0.0055, 0.0084, 0.0017, 0.0018, 0.0094, 0.0049
8,4,0.0082, 0.0082, 0.0015, 0.0068, 0.0027, 0.0032
8,5,0.0015, 0.0023, 0.006, 0.0042, 0.0066, 0.0061
8,6,0.0085, 0.0006, 0.002, 0.0087, 0.0021, 0.0027
8,7,0.0021, 0.0038, 0.0056, 0.0085, 0.0019, 0.0076
8,8,0.003, 0.0074, 0.0059, 0.0045, 0.009, 0.0055
8,9,0.0092, 0.0074, 0.0036, 0.0008, 0.0041, 0.0061
8,10,0.0038, 0.0056, 0.0084, 0, 0.0096, 0.0051
8,11,0.0059, 0.0081, 0.0056, 0.0079, 0.0069, 0.0077
8,12,0.0008, 0.009, 0.0014, 0.0064, 0.0076, 0.0031
8,13,0.0039, 0.0005, 0.0005, 0.0098, 0.005, 0.0095
8,14,0.0052, 0.0041, 0.0068, 0.0089, 0.005, 0.001
9,0,0.0051, 0.0088, 0.0065, 0.0037, 0.0086, 0.006
9,1,0.0086, 0.0047, 0.0042, 0.0043, 0.0027, 0.0011
9,2,0.002, 0.0033, 0.0002, 0.0034, 0.0097, 0.0077
9,3,0.0066, 0.0035, 0.0082, 0.0069, 0.0035, 0.0032
9,4,0.0065, 0.0085, 0.0073, 0.0033, 0.0073, 0.0022
9,5,0.0043, 0.0026, 0.001, 0.0007, 0.0061, 0.0096
9,6,0.0068, 0.0046, 0.0042, 0.0009, 0.0088, 0.007
9,7,0.002, 0.0007, 0.0004, 0.0021, 0.0039, 0.0001
9,8,0.0098, 0.0004, 0.0034, 0.0079, 0.0073, 0.0067
9,9,0.001, 0.004, 0.0054, 0.0084, 0.0073, 0.0028
9,10,0.0005, 0.0015, 0.0052, 0.0015, 0.0023, 0.0012
9,11,0.0011, 0.0089, 0.0059, 0.0053, 0.0098, 0.0046
9,12,0.0022, 0.002, 0.0053, 0.0025, 0.0041, 0.0092
9,13,0.0024, 0.0038, 0.0097, 0.0058, 0.0018, 0.0071
9,14,0.0027, 0.0029, 0.001, 0.0081, 0.0012, 0.0081
10,0,0.0008, 0.0017, 0.0097, 0.0061, 0.0031, 0.0019
10,1,0.0071, 0.004, 0.0009, 0.0029, 0.0091, 0.0008
10,2,0.0075, 0.0015, 0.0026, 0.0029, 0.004, 0.0067
10,3,0.0021, 0.0064, 0.0006, 0.0019, 0.0021, 0.0023
10,4,0.0088, 0.0048, 0.0052, 0.0097, 0.0028, 0.0064
10,5,0.0079, 0.0037, 0.0079, 0.0075, 0.0096, 0.0009
10,6,0.0094, 0.0068, 0.0049, 0.0002, 0.0098, 0.0042
10,7,0.0009, 0.0074, 0.0055, 0.0035, 0.0003, 0.0093
10,8,0.0002, 0.0022, 0.0058, 0.0008, 0.0039, 0.0079
10,9,0.0029, 0.0028, 0.0027, 0.0081, 0.0024, 0.0055
10,10,0.0044, 0.0005, 0.009, 0.0023, 0.0078, 0.0087
10,11,0.0032, 0.0074, 0.0055, 0.008, 0.0074, 0.0052
10,12,0.0023, 0.0083, 0.0025, 0.0076, 0.0018, 0.0028
10,13,0.007, 0.002, 0.0048, 0.0027, 0.0026, 0.0087
10,14,0.0005, 0.0056, 0.0017, 0.0032, 0.0038, 0.0041
11,0,0.0088, 0.0081, 0.0044, 0.0077, 0.0005, 0.0024
11,1,0.0064, 0.0035, 0.0096, 0.002, 0.0016, 0.0071
11,2,0.0072, 0.0037, 0.0054, 0.0095, 0.0014, 0.0072
11,3,0.0023, 0.0082, 0.0092, 0.0071, 0.001, 0.0017
11,4,0.006, 0.0016, 0.0073, 0.0075, 0.0048, 0.0011
11,5,0.0015, 0.0035, 0.0092, 0.006, 0.0014, 0.0095
11,6,0.0082, 0.0078, 0.0029, 0.0079, 0.0096, 0.0046
11,7,0.0049, 0.0067, 0.0081, 0.0002, 0.0063, 0.0096
11,8,0.0072, 0.0086, 0.0079, 0.0063, 0.0057, 0.0088
11,9,0.0081, 0.0018, 0.0005, 0.0055, 0.0093, 0.0053
11,10,0.0066, 0.0009, 0.0087, 0.0057, 0.0067, 0.0002
11,11,0.0053, 0.005, 0.0078, 0.0083, 0.0028, 0.0073
11,12,0.0028, 0.0076, 0.0041, 0.001, 0.0078, 0.0003
11,13,0.0005, 0.0052, 0.0088, 0.0083, 0.0014, 0.0046
11,14,0.0072, 0.0095, 0.0064, 0.0077, 0.0052, 0.0056
12,0,0.0029, 0.0017, 0.0063, 0.0017, 0.0075, 0.0032
12,1,0.0017, 0.0027, 0.008, 0.0093, 0.0009, 0.001
12,2,0.0067, 0.0035, 0.0084, 0.0007, 0.0046, 0.0063
12,3,0.0009, 0.0049, 0.0014, 0.0097, 0.0031, 0.0029
12,4,0.0042, 0.0004, 0.0025, 0.0005, 0.0079, 0.0075
12,5,0.0061, 0.001, 0.0093, 0.0025, 0.0025, 0.0067
12,6,0.0055, 0.0041, 0.0094, 0.0037, 0.0035, 0.0005
12,7,0.0045, 0.0002, 0.004, 0.003, 0.0007, 0.0084
12,8,0.0093, 0.0016, 0.0033, 0.0007, 0.0012, 0.0064
12,9,0.0034, 0.0054, 0.0069, 0.0057, 0.0057, 0.0047
12,10,0.0034, 0.0019, 0.0055, 0.0026, 0.0043, 0.0081
12,11,0.0093, 0.0098, 0.0023, 0.0086, 0.0036, 0.0056
12,12,0.0089, 0.0079, 0.0058, 0.0031, 0.001, 0.0066
12,13,0.0014, 0.0003, 0.008, 0.0047, 0.001, 0.0091
12,14,0.0013, 0.0042, 0.0046, 0.008, 0, 0.0003
13,0,0.0028, 0.0032, 0.0022, 0.0084, 0.0058, 0.0063
13,1,0.0064, 0.0052, 0.0063, 0.0085, 0.0038, 0.0097
13,2,0.0042, 0.0028, 0.0078, 0.0002, 0.0059, 0.0086
13,3,0.0066, 0.0072, 0.0089, 0.0047, 0.0018, 0.0097
13,4,0.0039, 0.0029, 0.004, 0.0084, 0.0008, 0.0039
13,5,0.0087, 0.0035, 0.0071, 0.0008, 0.0018, 0.0031
13,6,0.0072, 0.0082, 0.0081, 0.0034, 0.0068, 0.002
13,7,0.003, 0.0011, 0.0049, 0.0007, 0.0011, 0.0007
13,8,0.0094, 0.0077, 0.0077, 0.0082, 0.0024, 0.0096
13,9,0.0079, 0.0061, 0.0024, 0.0018, 0.0044, 0.0033
13,10,0.0057, 0.003, 0.0068, 0.003, 0.0037, 0.0086
13,11,0.0059, 0.0008, 0.0067, 0.0039, 0.0042, 0.0036
13,12,0.006, 0.007, 0.0045, 0.0008, 0.0078, 0.0055
13,13,0.0015, 0.0071, 0.0031, 0.0091, 0.0054, 0.0055
13,14,0.0088, 0.0034, 0.0016, 0.0013, 0.0051, 0.006
14,0,0.0044, 0.0009, 0.0089, 0.0013, 0.0037, 0.0027
14,1,0.0097, 0.0096, 0.0035, 0.0065, 0.0037, 0.0077
14,2,0, 0.0095, 0.0046, 0.0046, 0.0004, 0.0025
14,3,0, 0.0017, 0.0094, 0.0031, 0.0009, 0.005
14,4,0.0087, 0.0095, 0.0082, 0.0002, 0.0008, 0.0034
14,5,0.006, 0.0052, 0.0042, 0.005, 0.0064, 0.0079
14,6,0.0077, 0.0062, 0.0077, 0.0013, 0.0027, 0.0013
14,7,0.0088, 0.0027, 0.0009, 0.0036, 0.0071, 0.0011
14,8,0.0061, 0.0071, 0.0028, 0.0057, 0.0004, 0.0036
14,9,0.0006, 0.0089, 0.003, 0.0086, 0.0091, 0.0038
14,10,0.002, 0.0052, 0.0089, 0.0062, 0.0004, 0.0052
14,11,0.0042, 0.0081, 0.0013, 0.0018, 0.0093, 0.004
14,12,0.0031, 0.0082, 0.0066, 0.0038, 0.0019, 0.0038
14,13,0.0049, 0.0079, 0.0011, 0.0078, 0.0037, 0.0013
14,14,0.0013, 0.0041, 0.0003, 0.0043, 0.0026, 0.0092
