x,y,beta, gamma, rx, ry
5,1,0.0031, 0.0046, 0.0075, 0.0025
5,2,0.0098, 0.0094, 0.0002, 0.0023
5,3,0.0082, 0.0079, 0.0017, 0.0056
5,4,0.0002, 0.0037, 0.0065, 0.0098
5,5,0.0057, 0.0047, 0.008, 0.0036
5,6,0.0083, 0.0006, 0.0019, 0.0042
5,7,0.0068, 0.0029, 0.0032, 0.0041
5,8,0.0014, 0.0039, 0.0071, 0.0045
5,9,0.0083, 0.0047, 0.0069, 0.0082
5,10,0.004, 0.0069, 0.0004, 0.0024
5,11,0.0049, 0.0021, 0.0078, 0.0049
5,12,0.0058, 0.0044, 0.0048, 0.0016
5,13,0.0089, 0.0027, 0.0052, 0.0074
5,14,0.0034, 0.0069, 0.0015, 0.0001
6,0,0.0096, 0.0047, 0.0043, 0.0012
6,1,0.0084, 0.0015, 0.0055, 0.0066
6,2,0.0061, 0.0023, 0.0047, 0
6,3,0.0093, 0.0051, 0.0022, 0.0041
6,4,0.0072, 0.0001, 0.0089, 0.0031
6,5,0.0044, 0.0036, 0.0045, 0.0034
6,6,0.0064, 0.0095, 0.0007, 0.0098
6,7,0.0064, 0.0023, 0, 0.0061
6,8,0.0068, 0.0041, 0.0071, 0.0052
6,9,0.0057, 0.0026, 0.0019, 0.0017
6,10,0.0049, 0.0065, 0.0015, 0.0041
6,11,0.0017, 0.0038, 0.0081, 0.009
6,12,0.0037, 0.0071, 0.002, 0.0081
6,13,0.0008, 0.0064, 0.0017, 0.007
6,14,0.006, 0.0024, 0.0067, 0.0025
7,0,0.0045, 0.0066, 0.0085, 0.0013
7,1,0.0008, 0.0057, 0.0063, 0.0063
7,2,0.0081, 0.008, 0.008, 0.0032
7,3,0.0046, 0.0096, 0.0071, 0.0064
7,4,0.0033, 0.0053, 0.0053, 0.007
7,5,0.0025, 0.0071, 0.0053, 0.0032
7,6,0.0036, 0.007, 0.0003, 0.0097
7,7,0.0092, 0.0071, 0.0021, 0.0037
7,8,0.0038, 0.0007, 0.005, 0.0044
7,9,0.0063, 0.0014, 0.0009, 0.0045
7,10,0.0094, 0.0087, 0.0075, 0.004
7,11,0.0084, 0.0048, 0.0005, 0.0016
7,12,0, 0.0056, 0.0087, 0.0024
7,13,0.0028, 0.0041, 0.0056, 0.0063
7,14,0.001, 0.0057, 0.0059, 0.0001
8,0,0.0027, 0.008, 0.0038, 0.0063
8,1,0.0086, 0.0086, 0.0009, 0.005
8,2,0.0098, 0.0018, 0.0093, 0.0094
8,3,0.0006, 0.007, 0.0035, 0.0089
8,4,0.0017, 0.0038, 0.0006, 0.0017
8,5,0.0092, 0.0091, 0.0039, 0.0021
8,6,0.0033, 0.0095, 0.0082, 0.0041
8,7,0.0052, 0.0042, 0.0041, 0.0079
8,8,0.0024, 0.0079, 0.0044, 0.0009
8,9,0.0065, 0.0051, 0.0059, 0.0064
8,10,0.0067, 0.0051, 0.0057, 0.0071
8,11,0.002, 0.0092, 0.0061, 0.0035
8,12,0.0029, 0.0066, 0.0053, 0.0022
8,13,0.0058, 0.009, 0.0042, 0.009
8,14,0.0087, 0.0025, 0.003, 0.0038
9,0,0.0068, 0.0071, 0.0018, 0.009
9,1,0.005, 0.006, 0, 0.0014
9,2,0.001, 0.0057, 0.0078, 0.0077
9,3,0.0009, 0.0037, 0.005, 0.0028
9,4,0.0028, 0.001, 0.0063, 0.0056
9,5,0.0074, 0.0015, 0.0078, 0.0032
9,6,0.0007, 0.0019, 0.0021, 0.0092
9,7,0.0043, 0.0051, 0.0031, 0.0012
9,8,0.0022, 0.0047, 0.0001, 0.007
9,9,0.0007, 0.0098, 0.0084, 0.0017
9,10,0.0056, 0.0061, 0.0093, 0.0063
9,11,0.0096, 0.0042, 0.0091, 0.0024
9,12,0.005, 0.0054, 0.008, 0.0026
9,13,0.0069, 0.0057, 0.0056, 0.0076
9,14,0.0077, 0.0077, 0.0067, 0.0021
10,0,0.0027, 0.0098, 0.0031, 0.0047
10,1,0.0047, 0.003, 0.0016, 0.0052
10,2,0.0029, 0.0098, 0.0069, 0.0085
10,3,0.0061, 0.0061, 0.0047, 0.0056
10,4,0.0004, 0.0038, 0.008, 0.0055
10,5,0.0092, 0.0061, 0.0079, 0.0062
10,6,0.002, 0.0034, 0.0038, 0.0095
10,7,0.0012, 0.0006, 0.0015, 0.0037
10,8,0.0004, 0.0044, 0.0083, 0.0049
10,9,0.0074, 0, 0.0002, 0.0004
10,10,0, 0.0069, 0.0087, 0.0059
10,11,0.0032, 0.0033, 0.0016, 0.0034
10,12,0.0071, 0.0097, 0.0087, 0.0064
10,13,0.0059, 0.0067, 0.0026, 0.0077
10,14,0, 0.0062, 0.0073, 0.001
11,0,0.0066, 0.0086, 0.0048, 0.007
11,1,0.0031, 0.0032, 0.002, 0.0006
11,2,0.003, 0.002, 0.0008, 0.003
11,3,0.009, 0.0093, 0.0087, 0.0023
11,4,0.0028, 0.0005, 0.0055, 0.0097
11,5,0.0001, 0.0044, 0.0061, 0.0058
11,6,0.001, 0.0087, 0.0037, 0.0011
11,7,0.005, 0.0009, 0.0021, 0.0017
11,8,0.0096, 0.0067, 0.0086, 0.0028
11,9,0, 0.0007, 0.0033, 0.0031
11,10,0.0028, 0.0039, 0.0059, 0.0017
11,11,0.0032, 0.0048, 0.004, 0.006
11,12,0.0051, 0.0095, 0.0056, 0.0052
11,13,0.0038, 0.0018, 0.0011, 0.0049
11,14,0.0006, 0.0046, 0.006, 0.0054
12,0,0.0056, 0.0081, 0.007, 0.0051
12,1,0.005, 0.0057, 0.0077, 0.0048
12,2,0.0062, 0.0009, 0.0077, 0.0088
12,3,0.0049, 0.0036, 0.0006, 0.0081
12,4,0.0082, 0.0044, 0.004, 0.0034
12,5,0.0039, 0.0094, 0.0084, 0.0077
12,6,0.0014, 0.0093, 0.0027, 0.0018
12,7,0.0041, 0.0085, 0.0073, 0.0095
12,8,0.0066, 0.0042, 0.0045, 0.0015
12,9,0.0097, 0.0023, 0.0063, 0.006
12,10,0.0031, 0.004, 0.0048, 0.008
12,11,0.0076, 0.0052, 0.006, 0.0059
12,12,0.0095, 0.0098, 0.0091, 0.0035
12,13,0.0093, 0.0074, 0.0011, 0.0006
12,14,0.0068, 0.0037, 0.0025, 0.0008
13,0,0.0023, 0.0096, 0.0002, 0.0089
13,1,0.0039, 0.0047, 0.0005, 0.0037
13,2,0.0069, 0.0067, 0.0095, 0.0001
13,3,0.0008, 0.0042, 0.0079, 0.0082
13,4,0.0095, 0.0038, 0.004, 0.0091
13,5,0.0035, 0.003, 0.0025, 0.0027
13,6,0.0005, 0.0036, 0.0034, 0.0071
13,7,0.0073, 0.0059, 0.0078, 0.0095
13,8,0.0056, 0.008, 0.0083, 0.0093
13,9,0.0027, 0.0087, 0.0031, 0.0096
13,10,0.0053, 0.0025, 0.0095, 0.0059
13,11,0.0068, 0.0073, 0.0042, 0.0064
13,12,0.0012, 0.0082, 0.0054, 0.0047
13,13,0.0011, 0.0079, 0.0072, 0.0016
13,14,0.0014, 0.0007, 0.0085, 0.0086
14,0,0.0064, 0.0064, 0.008, 0.0021
14,1,0.0046, 0.0064, 0.0015, 0.0073
14,2,0.005, 0.0044, 0.0068, 0.0004
14,3,0.007, 0.0064, 0.0063, 0.0037
14,4,0.0038, 0.0004, 0, 0.0048
14,5,0.0084, 0.0054, 0.0093, 0.0095
14,6,0.0032, 0.0066, 0.0012, 0.0046
14,7,0.0072, 0.0098, 0.0031, 0.0037
14,8,0.0063, 0.0012, 0.0057, 0.0008
14,9,0.0075, 0.007, 0.0079, 0.0026
14,10,0.0016, 0.0048, 0.0031, 0.0084
14,11,0.0011, 0.0092, 0.0022, 0.0047
14,12,0.0097, 0.0022, 0.0095, 0.0082
14,13,0.0074, 0.0087, 0.0077, 0.0005
14,14,0.0055, 0.0087, 0.0049, 0.0028
